aspect term	polarity	text	category
;screen;lap top	 positive negative	The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.	 display weight
;null	 positive	Its good for playing my apps on Facebook or watching movies.	 laptop
;null	 positive	Im very happy with this computer!	 laptop
;null	 positive	It's solid.	 laptop
;software;operating system	 positive positive	Love the stability of the Mac software and operating system.	 software os
;software;software;price	 negative negative negative	The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.	 software software software
;null	 negative	It seems to be incompatible with everything else.	 software
;null;null;snow leopard x	 positive positive positive	But the machine is awesome and iLife is great and I love Snow Leopard X.	 laptop software os
;null;null;null	 positive positive positive	i love to use it it is esay and light.	 laptop laptop laptop
;null;null	 positive positive	this laptop is durable and it is easy to travel with.	 laptop weight
;null	 positive	i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.	 weight
;null	 positive	this laptop is great for work and doing my pictures.	 laptop
;null	 positive	i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.	 laptop
;programs;programs;null	 positive positive positive	the programs are esay to use and are quick to process this computer works like a charm.	 software software laptop
;null	 positive	i can use it for all of my needs.	 laptop
;null	 positive	i give this laptop a five star review i love it and it has done chams for me.	 laptop
;null	 positive	if this computer every breaks down on me i will most definatly get the same one again.	 laptop
;null;null	 positive positive	i think that anyone looking for a good durrable laptop then this is the way to go.	 laptop laptop
;null	 positive	From the second you open the box you will fall in love with this computer!	 laptop
;os;os	 positive positive	The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.	 os os
;track pad;track pad;apple	 positive positive positive	The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!	 mouse mouse laptop
;os	 positive	The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!	 os
;apple;null	 positive positive	Apple continues to shine and provide a much more enjoyable computer experience!	 laptop laptop
;null	 positive	From the start, when you open the box you see a completely different class of machine.	 laptop
;null	 positive	The ease in which you set everything up is such that a child could do it.	 laptop
;screen;operating system	 positive positive	The screen is bright and clear, the operating system is solid and friendly to a novice.	 display os
;null	 positive	Fast, fast and fast, the web pages just fly by.	 laptop
;iworks;itunes;ms office	 positive positive positive	I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.	 laptop laptop laptop
;null	 positive	That includes transferring my music and movies.	 laptop
;null	 positive	Good bye BLUE SCREEN and Critical errors!!!!	 laptop
;null	 positive	Skype is just so dang cool with this machine too.	 software
;null	 positive	If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.	 laptop
;null;battery	 positive positive	It is light and the battery last a very long time.	 laptop battery
;null	 positive	Very fast boot up and shut down.	 laptop
;null	 positive	Let me tell you, this machine is great.	 laptop
;null	 positive	Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.	 laptop
;mac os	 positive	I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.	 os
;null	 positive	The most amazing part to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing.	 laptop
;null	 positive	The only time I have restarted is during system updates.	 laptop
;null	 positive	great machine if you want to drop the cash for one.	 laptop
;null	 positive	Ok, this is probably the best laptop series ever devised by Apple.	 laptop
;case	 positive	The case is carved out of a single block of aluminum.	 laptop
;processor;osx 16;graphics	 positive positive positive	The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.	 processor os graphics
;null	 positive	I have recommended this laptop to everyone I know who is buying one.	 laptop
;null	 positive	I like it so much, I bought another just for my wife.	 laptop
;null	 negative	Took it back as it was defective.	 laptop
;null	 negative	Page just disapeared after you got yahoo or downloaded something.	 laptop
;null	 negative	Couldn't keep a page up you were working on!	 laptop
;null	 positive	was a great deal i will give that.	 price
;null	 neutral	the laptop preformed pretty well.	 laptop
;null	 negative	it cant fuction well with lots of webpages open at once.	 laptop
;null	 negative	it has times were it freezes for 10 seconds and then starts again.	 laptop
;mouse	 negative	the mouse on the pad, the left button always sticks.	 mouse
;mouse	 negative	the mouse is way way way to sensitve.	 mouse
;null	 negative	i tried turning it done but it did nothing.	 mouse
;mouse	 negative	the mouse jumps around all the time and it clicks stuff i dont want it too.	 mouse
;null	 negative	its not bad just VERY VERY annoying.	 mouse
;null	 negative	think i would spend little extra to get a better made laptop.	 laptop
;null	 positive	I am very happy with this laptop.	 laptop
;price;null	 neutral positive	For the price and what I get out of it has exceeded my expectations.	 price laptop
;null	 positive	I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.	 laptop
;quality	 positive	Amazing Quality!	 laptop
;null	 positive	Plus stylish.	 laptop
;screen	 positive	The big screen allows you to enjoy watching movies , pictures and etc!	 display
;null;os x	 negative negative	The flaws are, this computer is not for computer gamers because of the OS X.	 laptop os
;gaming	 negative	Mac is not made for gaming.	 laptop
;boot camp	 positive	BUT there's this application called Boot Camp which allows you to add another OS X like Windows.	 software
;null	 negative	Second, it gets scratches easily and when it gets old some thing may operated	 laptop
;programs	 negative	Was not happy with one of the programs on it.	 software
;null	 negative	It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.	 software
;warranty	 negative	Also, the extended warranty was a problem.	 service
;warranty	 negative	The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.	 service
;null;screen;null	 positive positive positive	Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.	 laptop display laptop
;price;null	 positive positive	I finally decided on this laptop because it was the right price for what I need it.	 price laptop
;null	 negative	I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.	 laptop
;null	 negative	So I'm disappointed in that because communicating with my relatives out of the area is a priority.	 laptop
;toshiba	 neutral	I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.	 laptop
;notebook pc	 negative	I bought this eMachines Notebook PC in January of this year and I am highly dissatisfied with it.	 laptop
;null	 negative	The Internet Explorer was very slow from the very beginning.	 software
;null	 negative	It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it.	 software
;null	 negative	I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.	 software
;null	 negative	Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.	 software
;notebook	 negative	This Notebook restarts every time there is a new update, so if you don't save your files and information, everything will be lost.	 laptop
;battery	 negative	Another issue I have with it is the battery.	 battery
;null	 negative	Maybe three or four months ago it started blinking all of the sudden.	 battery
;battery;battery	 negative negative	"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge."	 battery battery
;null	 negative	It is not even a year old yet, so I would definitely not recommend it to anyone.	 laptop
;null	 negative	Don't waste your money!	 laptop
;null	 positive	The laptop is gorgeous.	 laptop
;null;null	 positive positive	It is sleek, smooth, and lightweight.	 laptop laptop
;portable	 positive	It is easily portable and I take it everywhere I go and might require internet access.	 weight
;screen	 positive	The screen is very large and crystal clear with amazing colors and resolution.	 display
;processor	 positive	The processor is very quick and effective as I load webpages and applications.	 processor
;null;null	 positive positive	It is quiet and a real joy to watch work.	 laptop laptop
;null	 positive	I love it and will probably get another one when this goes to the Laptop in the sky!!	 laptop
;null	 positive	Overall this laptop is great.	 laptop
;memory;hard drive;graphics	 positive positive positive	It has plenty of memory, lots of hard drive, and great graphics.	 memory harddisk graphics
;null	 positive	It runs very quiet too which is a plus.	 laptop
;batteries	 negative	The only bad thing about it is they give you the worst batteries possible.	 battery
;null	 negative	They only stay charged a little over an hour.	 battery
;battery	 negative	Laptops are usually used on the go, so why not give you a better battery?	 battery
;processor	 negative	The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.	 processor
;null;null	 negative negative	The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.	 laptop laptop
;null	 negative	It is a cheap throw together.	 laptop
;device	 negative	Save your money and go for a better device.	 laptop
;price;null	 positive positive	This laptop is a great price and has a sleek look.	 price laptop
;null	 positive	Runs smooth and quick.	 laptop
;null;null	 negative positive	I wish it had a webcam though, then it would be perfect!	 laptop laptop
;null	 positive	I Love my new computer!	 laptop
;null;null	 positive positive	Its fast and another thing I like is that it has three USB ports.	 laptop laptop
;null	 positive	I love to write and play with graphics and html programming and my new Toshiba works great on both!	 laptop
;product;null	 positive positive	Thank you for your great product!	 laptop laptop
;null	 positive	Everything about this computer is easy to use.	 laptop
;null	 positive	wonderful features.	 laptop
;battery	 negative	The only thing is that the battery won't last more than 1/2 an hour.	 battery
;null	 negative	It discharges too quickly.	 battery
;null	 positive	Kind of annoying, but I still love the laptop.	 laptop
;speed;hard drive	 positive positive	It has good speed and plenty of hard drive space.	 laptop harddisk
;null	 negative	The only downfall is the volume control.	 laptop
;wheel	 negative	The wheel that turns the volume up and down doesn't work in real time.	 laptop
;null	 negative	I have to keep turning it until it decides to lower and there is no mute.	 laptop
;null	 positive	I bought my macbook a few months ago and it has been my baby ever since.	 laptop
;null	 positive	I love it so much.	 laptop
;null	 positive	It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.	 laptop
;null	 positive	The best thing is even while doing almost ten or twenty things at once, it never slows down.	 laptop
;null	 positive	It's just as fast with one program open as it is with sixteen open.	 laptop
;null;null	 positive positive	It works exactly like it did the day I took it out of the box.	 laptop laptop
;null	 positive	GREAT INVESTMENT!	 laptop
;price;features	 positive positive	The price and features more than met my needs.	 price laptop
;feature	 positive	The feature are good enough for what I need.	 laptop
;null	 positive	I love my macbook pro!	 laptop
;null	 positive	My laptop is almost 2yrs old and I have never had any problems with it.	 laptop
;null	 positive	If you are a PC user looking to convert I would HIGHLY recommend it!	 laptop
;null;null	 neutral positive	It may take a little getting used to but you don't have to worry about viruses or other headaches.	 laptop laptop
;null	 positive	Not to mention the fact that your mac comes fully loaded with all necessary basic programs.	 laptop
;null	 positive	I am ADDICTED to photo booth!	 software
;null	 positive	It is SO much fun to play with.	 software
;null	 positive	I work with kids and they love making short videos on there.	 software
;null	 positive	I am able to organize my pics, music and files easily.	 software
;null;null	 positive positive	If you have any creativity in you do yourself a favor and get a mac!	 laptop laptop
;keyboard	 positive	I love the keyboard.	 keyboard
;display	 positive	The display is awesome.	 display
;null	 neutral	Only thing I would want to add to this is an internal bluray read/write drive.	 laptop
;features	 positive	But other than that I am blown away by all the features this laptop offers.	 laptop
;null	 negative	I think this computer is super lame.	 laptop
;product	 negative	I dont understand how anyone can think this is a great product worth purchasing.	 laptop
;null	 negative	I decided to get this pile of crap on a whim and totally freaking regret it.	 laptop
;null	 negative	It doesnt work worth a damn.	 laptop
;display	 negative	The display is beyond horrible.	 display
;null	 negative	I can not even read what I am writing half of the time.	 display
;product	 negative	There are so many things wrong with this product, it just makes me want to set my self on fire!	 laptop
;null	 negative	I would totally recommend any other laptop over this pile of grabage.	 laptop
;null	 negative	Not to mention it has shit gigs.	 harddisk
;null	 negative	I could not even put my entire music collection on this garabage.	 harddisk
;harddrives	 negative	Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.	 harddisk
;null;touch-mouse	 negative negative	I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.	 laptop mouse
;null	 negative	got another 1, and same issue.	 laptop
;null	 negative	I am taking back today.	 laptop
;null	 negative	Don't waste your money or time.	 laptop
;null;toshibas	 negative positive	Very dissappointed becase I have had toshibas for years, and never a issue.	 laptop laptop
;null;null	 negative negative	STOPPED BOOTING UP less than a week after my one-year warranty was up.	 laptop laptop
;null	 negative	Toshiba knows there is a manufacturing defect but will not acknowledge it.	 service
;null	 negative	Apparently there is a manufacturing defect, something with the amount of thermal paste.	 laptop
;null	 negative	TOSHIBA WILL NOT ACKNOWLEDGE THIS PROBLEM.	 service
;technical support	 negative	When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.	 service
;windows os;null	 negative negative	I loved the netbook (minus the fact that it was windows OS) until this started happening.	 os laptop
;null;null	 negative negative	But if you can't make your product last more than a year, you will not get my business again.	 laptop laptop
;null	 positive	I've had my MacBook Pro for three years now and still love it!	 laptop
;null	 positive	In those three years, I've had a couple of minor problems and both were resolved by Apple quickly and easily.	 service
;power supply;warranty	 negative positive	My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.	 hardware service
;null	 positive	In the three years I've had my MacBook Pro, I have never had a virus on my computer, and I do a lot of work on the internet.	 laptop
;ilife software;null	 positive positive	The iLife software that comes with the computer is so simple to use and produces a great finished product.	 software laptop
;product	 positive	I highly recommend this product!	 laptop
;null	 negative	Needs constant repair.	 laptop
;screen	 negative	First the screen goes completely out.	 display
;null	 negative	Then HP sends it back to me with the hardware screwed up, not able to connect.	 service
;screen	 negative	Now the screen is going darker, darker, darker.	 display
;null;warranties	 negative negative	HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.	 service service
;shipping	 negative	Oh yeah, don't forget the expensive shipping to and from HP.	 laptop
;shipping;null	 negative negative	I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.	 laptop laptop
;null	 positive	So far so good with this laptop.	 laptop
;fan	 positive	Fan vents to the side, so no cooling pad needed, great feature!	 laptop
;screen;system	 positive positive	Screen is crystal clear and the system is very responsive.	 display laptop
;null	 positive	Memory is upgradable.	 laptop
;mouse	 negative	The only thing I would change about it is the mouse keys.	 mouse
;null	 negative	They click.	 mouse
;null;null;null	 negative positive positive	sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!	 mouse laptop price
;null	 negative	I HATE this one.	 laptop
;vista	 negative	Vista is a nightmare.	 os
;null	 negative	No tutorials on the display.	 laptop
;null	 negative	The book is useless.	 laptop
;null;null	 negative negative	The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.	 laptop laptop
;null	 negative	Thinking about returning it	 laptop
;null	 positive	The Macbook is a fantastic laptop.	 laptop
;null	 positive	You will love this macbook if you choose to buy it.	 laptop
;null	 positive	The macbook rarely requires a hard reboot.	 laptop
;null	 positive	It just works flawlessly!	 laptop
;null	 positive	Its hard to encounter a problem on a mac that would require such abrupt action.	 laptop
;null;null	 positive positive	I honestly love my mac, thats why I am a self proclaimed mac addict.	 laptop laptop
;null	 positive	This was purchased for my daughter and I was pleasantly surprised.	 laptop
;touch pad	 positive	It had the full sized touch pad with 2 buttons instead of just one.	 mouse
;null	 positive	It made the computer much easier to use and navigate.	 laptop
;keyboard	 positive	Keyboard was also very nice and had a solid feel.	 keyboard
;windows 7	 neutral	This system came loaded with Windows 7 Starter.	 os
;null	 positive	So far, so good.	 laptop
;null	 negative	When I got this laptop in 2007 to help me with school, I had a hard time from beginning.	 laptop
;null	 negative	I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.	 laptop
;null	 positive	Quite simply this is the best laptop I have ever owned.	 laptop
;null	 positive	For me, five stars is not enough.	 laptop
;null	 positive	"I love the 15"" MacBook Pro."	 laptop
;null	 positive	My parents bought it for me as a graduation gift, and i'm totally (almost kind of maybe definitely) obsessed with it.	 laptop
;null	 positive	It was very easy to just pick up and use--	 laptop
;os	 positive	It did not take long to get used to the Mac OS.	 os
;null;screen;null	 positive positive positive	I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.	 laptop display weight
;programs	 neutral	There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.	 software
;null	 positive	The built-in webcam is great for Skype and similar video-chat services.	 laptop
;itunes;program	 positive positive	iTunes is a handy music-management program, and it is essential for anyone with an iPod.	 software software
;product	 positive	All-in-all, I would definitely recommend this product for nearly everyone.	 laptop
;null	 positive	I love it!	 laptop
;product;null	 positive positive	They definitely have a superior product!	 laptop laptop
;null;null	 negative negative	Its not just slow on the internet, its slow in general.	 laptop laptop
;null	 negative	No I am generous calling it slow.	 laptop
;null	 negative	its more like a snail crawl.	 laptop
;null	 negative	he can't stand it.	 laptop
;null	 negative	I can't begin to say how disappointed I am.	 laptop
;null	 negative	I should have spent an extra hundred bucks and got a full sized computer.	 laptop
;null;null	 neutral positive	the key bindings take a little getting used to, but have loved the Macbook Pro.	 keyboard laptop
;delivery	 positive	Delivery was early too.	 laptop
;null	 positive	It allows me to do everything I need from a computer and more.	 laptop
;graphics;null;null	 positive positive positive	With awesome graphics and assuring security, it's perfect!	 graphics laptop laptop
;null	 positive	I'd recommend this laptop to anyone!	 laptop
;null	 negative	The Toshiba Satellite laptop is  DESIGNED  to fail !	 laptop
;null;power supply	 negative negative	The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.	 hardware hardware
;null	 negative	Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.	 service
;null	 negative	I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.	 service
;null	 negative	Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.	 service
;power;storage;ability	 positive positive positive	It has far exceeded my expectations for power, storage, and ability.	 laptop harddisk laptop
;null	 positive	It is easy to navigate and update programs.	 laptop
;null	 positive	I've never had problems with viruses.	 laptop
;null	 positive	My next laptop will also be a Mac!	 laptop
;null	 positive	I would like to tell you about the best laptop I just got from Mac.	 laptop
;null;null	 positive positive	My mac laptop is fabulous in both areas.	 laptop memory
;null	 positive	It gives me the power and speed that I need to run all the programs I use to edit.	 laptop
;null;null	 positive positive	The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.	 software software
;null	 positive	I would buy one of these for every person in my office if I could.	 laptop
;null	 positive	In my line of work, I often have to take work home, and this makes it so easy.	 laptop
;keyboard;keyboard	 positive positive	I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.	 keyboard keyboard
;null	 positive	The apple care has never failed me, and I expect it to be the same for this computer as well.	 service
;null	 positive	I will only buy apple laptops from now on.	 laptop
;null;null	 positive positive	Great laptop for school, easy to use for beginners in the household.	 laptop laptop
;keyboard;keyboard	 positive negative	Keyboard is great but primary and secondary control buttons could be more durable.	 keyboard keyboard
;battery;null;price;toshiba	 neutral positive neutral neutral	Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!	 battery laptop price laptop
;null	 negative	My MacBook Pro has been a huge disappointment.	 laptop
;null;null	 negative negative	From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.	 laptop laptop
;battery;null;null	 negative negative negative	The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.	 battery laptop software
;product	 negative	I would not recommend this product to anyone.	 laptop
;screen;battery life	 positive positive	Screen is awesome, battery life is good.	 display battery
;null	 positive	Really like the textured surface which shows no fingerprints.	 laptop
;null;null	 positive neutral	Good laptop for the money.	 laptop price
;speakers	 neutral	Speakers don't get that loud, but good enough.	 laptop
;null	 positive	They don't crash.	 laptop
;null	 positive	If a website ever freezes (which is rare), its really easy to force quit.	 laptop
;null	 positive	Never been hacked.	 laptop
;null	 positive	No viruses.	 laptop
;null	 positive	I have had to call with a few questions or issues and they have helped me for free, even without the warranty.	 service
;null	 positive	A mac is very easy to use and it simply makes sense.	 laptop
;null	 positive	Its also FUN to use!	 laptop
;programs;programs	 positive positive	The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.	 software software
;null	 positive	She said its very user friendly.	 software
;null;null;features;keyboard;mouse pad	 positive positive positive positive positive	However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.	 laptop laptop laptop keyboard mouse
;null;null	 neutral positive	I am very happy I bought this Mac, well worth the extra money.	 price laptop
;null	 positive	Now that I have it I see that I really needed this for much more.	 laptop
;null	 positive	I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.	 laptop
;null	 positive	I have not had a problem with the applications quitting or freezing.	 software
;null;null	 positive positive	I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.	 laptop laptop
;apple	 positive	That was my first Apple product and since then I have been incredibly happy with every product of theirs I have bought.	 laptop
;null	 positive	My MacBook Pro is no exception.	 laptop
;trackpad	 positive	Since I've had this computer I've only used the trackpad because it is so nice and smooth.	 mouse
;trackpad	 positive	I also like that you can scroll down in a window using two fingers on the trackpad.	 mouse
;software;null	 positive positive	The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.	 software laptop
;null;quality	 neutral positive	I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!	 price laptop
;null	 positive	Shiny	 laptop
;null	 positive	This Laptop is the Best of the best!	 laptop
;null	 positive	The Awesomest of the awesomest.	 laptop
;null	 positive	It is so great, I can Hardly ever take my hands off it!	 laptop
;null	 positive	My friends are in awe every time they come over!	 laptop
;null	 positive	I got it for Christmas, and I was so excited to set it up!	 laptop
;null	 positive	It is super fast, and always loads.	 laptop
;null	 positive	I am just amazed.	 laptop
;null	 negative	The only bad part is the size/weight.	 laptop
;null	 negative	It's like 9 punds, but if you can look past it, it's GREAT!	 laptop
;null	 neutral	If you don't like fingerprints, this might not be the laptop for you.	 laptop
;null	 neutral	It super shiny, so you can see the fingerprints easily.	 laptop
;price	 positive	All for such a great price.	 price
;null	 positive	It's color is even cool.	 laptop
;graphics	 positive	Another Great thing is the Beast graphics.	 graphics
;null	 positive	They are so realistic I am just speechless.	 graphics
;computers	 positive	I let my friend borrow it, and she knows nothing about computers, and she used it with ease.	 laptop
;null	 positive	The cool thing about this is anyone can use it.	 laptop
;null	 positive	I don't know how I could ever live without my Qousmio.	 laptop
;null	 negative	I own a Hewlett Packard laptop and I've had man problems with it since I bought in in Feb, 201	 laptop
;null	 negative	Ive had to call tech support many times.	 laptop
;null	 negative	Each time taking about 1 day or so.	 service
;null	 negative	I had to wait 3 weeks to get it back and it still is not working properly.	 service
;shipping	 negative	I had to pay for the shipping!	 service
;hp	 negative	I will never buy anything from HP again!	 laptop
;null;price	 positive neutral	The Toshiba Satellite has been more than I expected for the price.	 laptop price
;null;null	 positive neutral	THis computer may be small but it is one heck of a power horse.	 laptop laptop
;null;null	 positive positive	You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.	 laptop laptop
;null;null	 neutral positive	for being so small it is amazing that it is as fast as it is.	 laptop laptop
;null	 neutral	when i first got it i thought the size of it was a joke.	 laptop
;null	 positive	but after i got used to it i love it.	 laptop
;null;size;null	 positive positive positive	the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.	 laptop weight laptop
;usb ports;sd memory card reader	 positive positive	it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.	 laptop laptop
;null;portable	 neutral positive	the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.	 laptop weight
;null;null	 positive neutral	overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.	 laptop laptop
;null;null;software;null	 positive positive positive positive	i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.	 laptop laptop software laptop
;null	 positive	With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.	 laptop
;apple associates	 positive	All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.	 service
;null	 positive	this computer will last you at least 7 years, thats an amazing life spanned an electronic.	 laptop
;null;system	 positive positive	everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.	 laptop os
;null	 negative	Not working = bad	 laptop
;null;null	 negative negative	"I spent 2200 dollars on a ""top of the line laptop""."	 price laptop
;null	 negative	I got the blue screen of death the first month I got it.	 laptop
;null;null	 negative negative	"1) Payed $2200 for a ""premium"" laptop"	 price laptop
;null;null	 negative negative	2) Blue screen first month	 laptop laptop
;customer support	 negative	3) Horrible customer support-they lost my laptop for a month-got it back 3 months later	 service
;null	 negative	4) Laptop still did not work, blue screen within a week...	 service
;null	 negative	5) Cut my losses and sold it for parts	 laptop
;company	 negative	"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen..."	 laptop
;null;null	 positive positive	what an elegant, wonderful machine.	 laptop laptop
;null;apple	 positive positive	I'm making the switch and finding that my biggest problem is trying to do things the 'old' way - and Apple does, indeed, have the better idea.	 laptop laptop
;null	 positive	I really wish I had done this years ago.	 laptop
;null;null	 positive positive	Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.	 laptop laptop
;null	 positive	I love it - never had a computer I was so impressed with - and I've had a lot of laptops and desktops - this one is FAR AND ABOVE THE BEST ONE I EVER HAD BEFORE.	 laptop
;null	 negative	I tell everyone that I know, friends, family and enemies this is the absolute worst computer i have ever used.	 laptop
;null	 negative	The computer blinks it shuts off at will.	 laptop
;letter a	 negative	The letter A stopped working after the first week.	 keyboard
;null	 negative	when i called to have another one shipped or to get my money back they said the return policy is 23 twenty three days from the date of purchase.	 service
;null;null	 negative negative	so the fact that the computer does not work on the 24 twenty fourth day is my fault.	 service laptop
;null	 negative	they have done absolutely nothing to fix the computer problem.	 service
;null	 negative	they have not sent a new one nor called.	 service
;null;null	 neutral negative	i spent eight hundred dollars from a giant paper weight that looks good on a bus.	 laptop price
;service center	 negative	then on top of it all their cusromer service center is in the middle east.	 service
;null	 negative	So when you do call to complain about the hunk of metal you get the joy of speaking with a bunch of people you cant understand.	 service
;null	 negative	Then to make matters worst, there is noone that they can transfer you to.	 service
;null	 negative	I had this computer for one month and had to send it in for repair.	 laptop
;null	 negative	Got the computer back a month later and it was still broken sent it out again and they repaired it.	 service
;null	 negative	3 weeks went by and the computer keeps crashing and will not open any applications.	 service
;warranty;company	 negative negative	DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.	 service laptop
;warranty service	 negative	YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.	 service
;null	 negative	COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.	 laptop
;null	 positive	I have had this laptop for a few months now and i would say im pretty satisfied.	 laptop
;null	 negative	The only problems are the sound isnt very loud I have to wear headphones.	 laptop
;mouse;null	 negative negative	Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.	 mouse service
;null	 negative	That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.	 service
;null	 negative	It took a little over 2 weeks until i got it back.	 service
;null	 negative	ANd I babyed the heck out of it just one day when i opened it turned it on went to click and it was broke.	 mouse
;null	 negative	To be honest i think it was faulty equipment or something but idk.	 laptop
;graphics	 positive	The graphics are great.	 graphics
;null;null	 positive positive	The internet speed is spectacular.	 laptop laptop
;battery	 negative	The battery life is probably an hour at best.	 battery
;null	 negative	Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.	 software
;null;internet speed	 positive positive	I would recommend it just because of the internet speed probably because thats the only thing i really care about.	 laptop laptop
;null;mouse	 negative negative	I wish the volume could be louder and the mouse didnt break after only a month.	 laptop mouse
;null	 negative	I received this laptop as a gift and let me just tell you that its the worst.	 laptop
;system board;null	 negative negative	At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.	 hardware service
;null	 negative	This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.	 laptop
