aspect term	category	polarity	text
;class	 course	 positive	Good class.
;class	 attendance	 positive	if you come to class you will get a A, but class is interesting so you will want to!
;null	 approachable	 positive	She is very helpful and really cares about what she is doing!
;null	 teaching	 negative	JE can't keep the class engaged.
;null	 approachable	 positive	Very helpful.
;null	 teacher	 positive	Pushes chemistry a lot but obviously only because he loves it and thinks that it is beneficial to students.
;paper assignments	 exam	 negative	Her paper assignments have too many rules and really hinder intelligent writing.
;null	 teaching	 negative	For everyone out there never take a class with him cause he is unprofessional.
;classes	 teaching	 positive	Tough but makes classes enjoyable.
;null	 teaching	 negative	she comments all the time on how she has a phd yet gets stumped once a period
;null	 teacher	 positive	Overall, awesome is the word fits him most accurately.
;lab reports	 exam	 neutral	Turn in detailed lab reports.
;professor	 teacher	 positive	She's a great professor!
;si sessions	 approachable	 positive	Doesn't mesh well with my style, however the SI sessions were the only reason I passed the class!
;class	 teaching	 negative	He is completely unprepared for class.
;quizzes;tests;true/false	 exam exam exam	 neutral neutral neutral	All his quizzes and tests are true/false.
;null	 approachable	 positive	ASK if you dont get it, he will definetely clarify.
;final	 teacher	 positive	Makes sure you know your stuff and prepares you for the final.
;class	 course	 positive	Maybe English just comes easier to me than others, but I thought this class was cake.
;points;paragraph	 grading grading	 neutral neutral	Marked points off on ANY essay that did not start a body paragraph with firstly, secondly, thirdly, etc.
;cellular pathways	 teaching	 negative	He also focuses too much on cellular pathways and your ability to solve riddle-like questions, which doesn't actually test knowledge.
;null	 teacher	 negative	do not take her.
;null;exams	 teaching exam	 positive positive	he relates to the stuff in funny interesting ways that cant let u forget the material his exams are alot harder than murray but he keeps u focused more cuz hes not boring
;class;lecturer	 course teacher	 positive positive	Tough class, but an amazing lecturer.
;null	 teacher	 positive	Not boring, extremely cool.
;null	 teacher	 positive	He's really weird but interesting so I do recommend him.
;biology	 teacher	 positive	The man is the reason I can actually understand Biology.
;mid;fin;jounals;group pres	 exam exam exam exam	 negative negative negative negative	mid,fin,jounals,group pres.
;interpretation	 exam	 neutral	He would rather you reiterate the interpretation he teaches in class IF and only IF that is more persuasive and well-supported than your own interpretation.
;null;class	 knowledge teacher	 positive positive	He knows exactly what he is talking about and can keep your interest in class
;null	 teacher	 positive	She's one of my favorite professors
;null	 approachable	 positive	Very helpful.
;credit	 grading	 positive	Gives extra credit.
;exam	 exam	 positive	he puts alotta stuff he says on the exam.
;ta's	 teacher	 negative	Don't expect him to be coordinated with the TA's at all.
;null	 teacher	 positive	yeah i agree with everyone saying that she is such a nice person.
;course;grading	 course grading	 negative positive	The course is hard, and Randy takes this into consideration for grading.
;stories;opinions	 teaching teaching	 positive positive	She keeps you  intrigued with her personal stories and opinions on the matter at hand.
;lectures	 teaching	 negative	He always keeps the class on their toes with his lectures.
;practice exams	 exam	 negative	Posted practice exams w/out answers on BB which were useless.
;dude	 teacher	 positive	hes funny and chill dude,grabbed few beers with him just get on his good side and its all good.
;null;null	 teacher teaching	 positive negative	Thurlow is a nice man, but he simply cannot teach.
;chaptres;captions;information;test	 exam exam exam exam	 neutral neutral neutral neutral	You basically need to read the chaptres and memorize captions and detailed information because anything is fair game for molumby's test.
;null	 teacher	 positive	Caring, funny, sweet, she's the best.
;owls;lecture;book;owls	 exam exam exam relevant	 negative negative negative negative	OWLs are hard and sometimes not relevant to lecture, sometimes not relevant to the book.
;lab time	 approachable	 positive	He helps out students during lab time which is nice!
;powerpoints;past tests;exams	 exam exam exam	 neutral neutral neutral	And definitely focus on his Powerpoints and past tests to do well on the exams.
;students;tests;exams	 approachable exam exam	 positive positive positive	Helps students out during lab time, odviously has a strong commitment to helping students, and his tests / exams are never unfair in diffculty
;questions;lecture	 exam exam	 positive positive	Most of his questions are vague but similar to the ones taught in lecture.
;email	 approachable	 positive	She will email you at 1:00 am lol, she helped me through a lot personally and school wise.
;opinion	 answering	 positive	He made it very exciting, and gives people the opportunity to discuss their opinion.
;class	 teaching	 positive	I personally never had any problems with her and loved her class.
;computer programming	 relevant	 positive	I have never took any CS class before and now I am in love with computer programming because of him.
;lectures	 teaching	 negative	This guy talks too soft and lectures get boring.
;homework;si reviews;quiz	 exam exam exam	 positive positive positive	There is not any homework, but make sure to go to SI reviews so you can fully understand what you learn that week for the quiz on Friday.
;teacher	 teacher	 positive	NICEST TEACHER.
;grade	 grading	 positive	Do get a good grade you have to put in some time and effort.
;null	 teacher	 positive	She's very attractive too!
;null	 teacher	 positive	Mr. EVERETT is very fair.
;null;lectures	 teacher teaching	 positive positive	He oozes charisma, and his lectures actually made me want to go to class.
;professor	 teacher	 positive	Very good professor, clear and funny.
;questions	 answering	 positive	He gives you candy for asking questions, and he has a quick wit.
;help;guidelines;assignments	 approachable approachable approachable	 positive positive positive	He is very willing to help and gives very clear guidelines and goes over step by step how to do the assignments.
;old exams	 exam	 neutral	ONLY way to do well is get old exams!
;teacher	 teacher	 positive	She was a great teacher, and was very funny.
;lesson;midterm;problems	 teaching exam exam	 negative negative negative	very unorganized, always off topic-not in a good way where it gets you out of the boring lesson but in a way where she still thinks she taught what you need to know for her impossible midterm while talking about her patients problems.
;prof	 teacher	 positive	nice prof.
;null	 grading	 negative	In the beginning of his class he almost bragged about his classes usually having a low C average.
;teachers	 teacher	 positive	Professor Schurter is by far the best, and one of the best teachers at UMass period.
;exams;quizzes;t/f	 exam exam exam	 positive positive positive	Exams and Fri. quizzes aren't too difficult consisting of mostly T/F.
;null	 teacher	 positive	She is funny, open and really interested in her topic.
;null	 teacher	 positive	I loved this class!
;null;class	 grading relevant	 positive positive	The things we do in class are relevant to the real world, he grades fairly easy, and the classes go by fast.
;cell biology;mutation;biology	 teaching teaching course	 negative negative negative	He focuses to excess on cell biology and mutation without really teaching about the normal system first, so unless you have a strong background in biology, this class is gonna be an uphill battle.
;null	 teacher	 negative	Nod off in this guys class and he'll pop off.
;null	 teacher	 positive	I really look forward to having him teach ecology and evolution next semester.
;teacher	 teacher	 positive	BEST TEACHER EVER!!
;teacher	 teacher	 neutral	I don't know, she might be a good teacher, but I guess I'm not good in philosophy.
;question	 teaching	 neutral	He'll give you a problem solving question and will quickly mumble how to solve it.
;teacher	 teacher	 positive	Overall, he's a good teacher and I learned a lot.
;lectures	 teaching	 positive	Very smart and lectures are really interesting.
;lectures	 teaching	 positive	And makes it entertaining during lectures.
;lectures;homework;problems	 teaching exam exam	 negative negative negative	His lectures were kind of all over the place sometimes and often the homework problems were different from the problems he went over in lecture which was frustrating.
;professor	 teacher	 negative	He's the worst professor you can take for 240.
;class;application	 teaching teaching	 positive positive	It's different from any bio class you'll take because its all application but it's so worth it and truly prepares you!
;null	 teacher	 positive	But she is still funny af!
;test	 exam	 positive	It'll help when it's time for test.
;lecture style	 teaching	 neutral	Long lecture style, but I learned so much.
;null	 teacher	 positive	Definitely expects a lot of work but will always go the extra mile to help you out if you put forth the effort.
;powerpoint slideshows	 teaching	 neutral	He likes the use of Powerpoint slideshows and he lectures for long periods of time.
;class	 course	 negative	Even with prior knowledge from AP Bio, his class is extremely difficult.
;exams;take-home	 exam exam	 positive positive	The exams are take-home and are pretty easy.
;null	 teacher	 positive	Dr. Sacher is a really sweet, funny woman.
;book	 exam	 neutral	Read book or you won't pass.
;course	 course	 positive	Not an easy course, but worth taking!
;exams;book	 exam exam	 neutral neutral	By the way, if you want to score really high on his exams, read the book.
;null	 course	 negative	Don't take his classes if your not prepared to work hard.
;structure;class	 teaching teaching	 negative negative	Worst class ever, there's no structure in the class so you'll never know what you're going to learn next.
;personality	 teacher	 positive	He challenges you, which some People don't like, but he has taught me a lot and has an amazing personality.
;attendance	 attendance	 positive	No attendance policy.
;notes	 grading	 negative	You have to turn in your NOTES to get graded.
;null	 approachable	 positive	VERY HELPFUL.
;cell phones	 teacher	 neutral	he does not like cell phones-never take yours out during class.
;tests;power point slides	 exam exam	 negative negative	Heres what he tells you to study for the tests all of the 200 power point slides.
;null	 teacher	 positive	Take jr year writing with him.
;quizzes;tests	 exam exam	 neutral neutral	Funny guy, tricky quizzes and tests but you'll pass if you study
;null	 teacher	 positive	Art's great.
;lectures	 teaching	 positive	His lectures are clear and I learnt a lot from it.
;teacher	 teacher	 positive	much better calc teacher than rudvalis (127).
;examples	 teaching	 negative	He jumps into examples and never tells us how he got there.
;tests	 exam	 neutral	difficult tests, but if you know your stuff they are fine.
;tests	 exam	 neutral	Obtain old tests.
;professors	 teacher	 negative	Molumby is one of the worst professors I've had at UIC.
;class	 course	 positive	If you put the work in, you'll notice that you've learned more than you would have in a normal class.
;tests;short essay	 exam exam	 neutral neutral	His tests aren't too bad if you study, but he does require a short essay to be written WHILE IN CLASS.
;lecture;course work	 teaching exam	 positive positive	Well-organized lecture and tough course work (programming assignment.)
;null	 teacher	 positive	TAKE JR WRITING WITH HIM and you will not regret it
;professor	 teacher	 positive	I'm not a biology major, but I've always been interested in Ecology &  Evolution; this class was definitely enjoyable because of the professor.
;english majors	 relevant	 positive	His classes should be labeled for English majors.
;null;english	 grading answering	 negative negative	she grades students very hard, and she does not know how to speak english very well.
;classes;information	 teacher relevant	 positive positive	One of the only classes I can say I actually learned useful information in.
;labs;tas	 relevant relevant	 negative negative	Labs and TAs are useless.
;tests	 exam	 positive	His tests are designed to test your knowledge rather than just your memory.
;lab reports	 teaching	 negative	Lab reports are irritating though.
;null	 knowledge	 positive	Cook's understanding in Math is very profound.
;class	 course	 positive	Mr. Everett's class was very difficult for me, but worth it!
;projects	 grading	 negative	We have still not gotten the first projects back and I have little doubt he will grade all three of them.
;tests;quizzes	 approachable approachable	 negative negative	He's not that helpful when it comes to tests and quizzes.
;notes;assignments	 exam exam	 positive positive	Excellent notes and assignments on the web.
;emails;moodle	 approachable approachable	 negative negative	He doesnt reply emails or put anything on Moodle.
;null	 teacher	 positive	Great class.
;group dynamics	 exam	 neutral	Group dynamics were HARD!
;lecturer	 teacher	 positive	absolutely fantastic lecturer.
;material	 teaching	 positive	IMO good at teaching the material.
;lectures	 teaching	 negative	Boring lectures.
;book;powerpoint	 exam exam	 negative negative	"Moreoever, he acknoweldged that everyone is asking what in specific to study for his tests, and his response: ""everything in the book and every slide on every powerpoint should be known 100%"" Would be reasonable if his ppts WERENT hundreds of sides"
;null;stuff	 teacher knowledge	 positive positive	Direct &  honest and he knows his stuff.
;teacher	 teacher	 positive	Simply awesome teacher
;null	 teacher	 positive	HIGHLY RECOMMENDED
;tests	 exam	 positive	His tests are more clear than Math 127 tests, kind of a funny teacher, but makes me sleepy.
;teacher	 teacher	 positive	Mr. Everett is a very good teacher.
;class;notes;exam questions;examples;class;book	 attendance exam exam exam exam exam	 positive positive positive positive positive positive	go to EVERY class, take really good notes b/c most of his exam questions are based on examples in class, read the book.
;null	 teacher	 positive	A man of principles.
;null	 exam	 negative	They are so tricky.
;typos	 teaching	 negative	If you like typos on everything including your own lab book, hes your guy.
;null;lectures;lecture;exams;book	 teacher teaching teaching exam exam	 positive positive negative negative negative	prof. molumby is well organized with fun lectures,but he talks too fast.you need to slow down a bit when you go on with lecture prof. his exams are a bit difficult and need to make sure to read the book because the exams cover book material.c u in clas
;null	 approachable	 negative	not helpful at all.
;professor	 teacher	 positive	Randy is my favorite professor this semester.
;class;teacher	 teacher teacher	 positive positive	If you want an awesome class with an awesome teacher, takes this one.
;null;lecture	 teacher teaching	 positive positive	Molumby is charismatic and easy to follow in lecture.
;null;exams	 approachable approachable	 positive positive	I ended up with a C- probably because I met with him to discuss exams and made it clear that I was trying my best.
;pseudohipster	 teacher	 negative	Pompous pseudohipster who blathers on and on about how cool he is.
;projects;tests	 exam exam	 neutral neutral	The semester consists of 3 major projects, no tests.
;exams;material	 exam exam	 positive positive	Past exams almost identical to current exams, great study material.
;class	 teaching	 positive	She makes class interesting and I actually looked forward to her class.
;null	 teacher	 negative	he is so not hot!!!!
;exams	 exam	 negative	His exams are ***** hard.
;null	 grading	 positive	I pulled out a B and honestly didn't try very hard.
;null	 teacher	 positive	He's a great guy.
;professor	 teacher	 positive	I really do like him as a professor.
;null;null	 teaching teacher	 negative negative	Rock On) which amuse at first but become tiresome by the 10th lecture.
;roll	 teaching	 positive	doesnt take roll
;null	 teacher	 positive	Best guy ever!
;homework;review sessions;tests	 exam exam exam	 neutral neutral neutral	Just do the homework and go to the review sessions before tests.
;grade	 grading	 positive	if you put in the work, she will grade fairly
;notes	 exam	 neutral	Be ready to listen and take notes.
;elementary school;skill level	 teaching teaching	 negative negative	He basically taught as if the students were of the elementary school skill level.
;biological anthropology	 teacher	 positive	I took Dr. Capelotti for Anth 045 and Anth 021 and ended up changing my major to biological anthropology because of his positive influence.
;mic	 teaching	 negative	He doesn't use a mic on purpose just to make it harder for students.
;students	 approachable	 positive	Would do anything to help his students succeed.
;role	 answering	 neutral	Doesn't even take role/count participation.
;null	 teaching	 negative	he doesn't teach
;grading	 grading	 negative	Grading is very unfair and she shouldnt teach undergraduate courses because she doesnt know how to deal with young people.
;test question;slides	 exam teaching	 negative negative	You can't even self teach because his test question are random and his slides are all paragraphs and pictures.
;ta;test reviews;null	 approachable approachable approachable	 negative negative negative	TA test reviews do not help and if you approach Prof. Cook for help, he does nothing for you.
;null	 teaching	 negative	Oh, she is kinda all over the place.
;null	 teacher	 positive	She takes into account if you care about your grade, once she knows that she will help as much as she can
;sample exams;exam	 exam exam	 positive positive	The sample exams really gave you an idea of what was on the exam.
; professor	 teacher	 positive	This guy is the most hipster biology professor you will ever have.
;neutrality	 teacher	 negative	I question her neutrality
;null	 teacher	 positive	Expects a lot but that is good!
;lesson	 teaching	 positive	He's very clear, and incorporates humor into his lesson.
;null	 teaching	 positive	Some may call this wanting you to believe what he does... but he is really just trying to get you to think OUTSIDE the box.
;null	 teacher	 positive	Super nice and inspirational!
;challenge	 course	 positive	The class is a challenge...but a sweet one.
;questions;null	 exam relevant	 negative negative	He gives the kind in which most of the questions, he would cherry pick information that was mentioned in passing, like an afterthought, and not actually important to the course.
;i-clicker points	 exam	 positive	Make sure you go for those I-Clicker points.
;class	 teacher	 positive	She's a total MILF as well which makes class even better
;professor	 teacher	 positive	wonderful, wonderful professor :)
;grade	 grading	 neutral	To get a good grade, try to get as many small points as possible.
;lecturer;stories	 teacher teaching	 positive positive	He is a great lecturer and interesting to listen to.He uses real life stories to explain the topics.
;assignment;midterm;log;page	 exam exam exam exam	 positive positive positive positive	1 written assignment in lieu of a midterm & a log due each week, but it only has to be 1 page.
;teaching methods	 teaching	 negative	Old School teaching methods.
;technology	 teaching	 negative	He refuses to use any type of technology to make understanding better for the student.
;class;credit	 course grading	 positive positive	This was the easiest class i ever took...yeah she is boring as hell but she gives you extra credit for no reason.
;midterm;final	 exam exam	 positive positive	Midterm and final are eassy.
;teacher	 teacher	 negative	she was the worst teacher i have had at depaul, im a senior so i think thats saying a lot.
;test;tests	 exam exam	 negative negative	His reviews for each test also give you no insight into what his tests will be like.
;professor	 teacher	 positive	Overall a great class and awesome professor!
;si sessions;study guides	 approachable approachable	 positive positive	Attend SI sessions, definitely helpful and it will provide study guides.
;humor;class	 teacher teaching	 positive positive	It doesn't hurt that he has a great sense of humor too, it really brightens up the class.
;exams;null	 grading grading	 positive positive	i got an A from doing well on the first 2 exams, bombed the third one but the final is optional
;class	 attendance	 neutral	MUST GO TO CLASS!
;help	 approachable	 positive	Mr. Everett is a nice guy and very helpful if you ask for help.
;null	 teaching	 negative	she takes it to serious and is not fun.
;null	 teacher	 positive	***** star Rating from my side.Long live M.Sahami
;teacher;null;null;class	 teacher knowledge teaching course	 positive positive negative negative	First, if you're a biology majore and want a good teacher and learn from good wisdom this is the teacher for you, however this teacher is really hard to hear and this class may come off as esy, but its not.
;professor;exams	 teacher exam	 positive negative	HE IS GOOD PROFESSOR BUT HIS EXAMS ARE NOT EFFICENT.
;lecture	 teaching	 negative	However, this man tends to go on a lot of rants and is hard to hear during lecture.
;reading;writing	 course course	 neutral neutral	Class was reading and writing intensive so don't expect to slack and do well.
;null	 teacher	 positive	She's great.
;guy;stanford	 teacher teacher	 positive positive	Just want to give this guy and the Stanford everywhere program a big shout out.
;cheat sheet;tests	 exam exam	 neutral neutral	So i stopped going, the cheat sheet tehy allow you to use on the tests really helped me.
;null	 teacher	 positive	Relatable and funny, tells how it is not what society says.
;lectures	 teaching	 positive	Hilarious lectures that keep you engaged for the full 50 minutes.
;exams;powerpoints;material;attention	 exam teaching teaching teaching	 neutral positive positive positive	His powerpoints are directly related to his exams, and you can only understand the material if you pay attention in class.
;null	 teacher	 positive	You must take her if you get a chance.
;exams	 exam	 neutral	Study up for exams &  you'll be ok.
;null	 teaching	 positive	he actually explains what he means
;students;reviews	 approachable approachable	 positive positive	He is readily available to help students, runs weekly reviews.
;null;material	 teaching teaching	 negative negative	As prior comments have mentioned, his organizational skills are terrible making understanding the material nearly impossible.
;students	 teacher	 positive	He has a genuine interest in his students and really cares about everyone.
;class	 course	 positive	If you take the notes and read the assigned readings the class isn't impossible.
;problems sets;lab reports	 exam exam	 positive positive	There are 3 problems sets and lab reports too, but they are all easy.
;null	 teacher	 positive	He is an extremely interesting and kind individual.
;teacher	 teacher	 negative	I have not had any problems with teachers before but this teacher was terrible.
;professor	 teacher	 positive	There seem to be a lot of mixed reviews but overall, Molumby is a good professor.
;tests	 exam	 neutral	Tests are a little hard.
;book;course	 teaching teaching	 negative negative	No book use whatsoever except to teach yourself the entire course.
;null	 course	 neutral	If you have a strong background in this subject and a study group--you'll be fine.
;essays	 exam	 neutral	There are a lot of essays but no more than expected.
;lectures	 teaching	 negative	Lectures were very boring.
;null	 teacher	 positive	I liked him!
;grading	 grading	 positive	The best part is, he is really easy on grading.
;angel notes	 exam	 positive	As long as you read the ANGEL notes you'll be okay.
;lectures	 teaching	 negative	It is impossible to hear anything he says in lectures no matter where you sit, making note taking impossible because you only get 1/4 of the stories.
;null	 teacher	 negative	Talks too quietly.
;null	 teaching	 positive	Loved the social commentary.
;null	 teacher	 positive	I absolutely loved Dr. Sacher.
;late;questions	 late answering	 negative negative	He is often late and unprepared, and can't answer questions clearly when asked.
;teacher	 teacher	 negative	She was a terrible teacher.
;powerpoints;test	 teaching exam	 negative negative	Powerpoints are all over 100 slides and you have to know everything for the test.
;exams	 exam	 neutral	Exams are tough but are common sense mostly.
;personality	 teacher	 positive	Hot personality!
;lectures	 teaching	 positive	Her lectures aren't boring, easy to understand.
;null	 teacher	 positive	I will forever be in awe of Dr. Molumby.
;test;null	 exam grading	 positive positive	I literally failed every test but he seen that I was really trying and I finished with a B.
;volume;microphone	 teaching teaching	 neutral neutral	First day make sure to yell at him to turn up the volume on the microphone.
;null	 relevant	 negative	Though it's interesting it doesn't help me learn!!!
;null	 teacher	 positive	He is easy if you just pay attention!
;exams;final;theorem;calc	 exam exam exam exam	 negative negative negative negative	"his exams are nothing he says it would be & the final is hard so u really gotta really know what the ""fundamental theorem of calc"" he always talks about is b/c that's what all his exams are about"
;null	 teacher	 negative	Molumby was harsh this semester.
;null	 teacher	 positive	He is simply a super awesome.
;material;antiderivatives	 course course	 negative negative	I thought the material would be super easy since the first thing we did was antiderivatives for a good 2 weeks, but then ramped it up and it got very hard.
;grading system;intro class	 grading course	 positive negative	I think Randy does care about his students, and even proposed a new grading system, but he definitely makes this intro class very difficult.
;null	 teacher	 positive	Mr Mehran is simply a brilliant teacher.
;null;null	 teacher knowledge	 positive positive	He is very enthusiastic and knowledgeable.
;null;class	 teacher course	 positive negative	Nice guy Hard class.
;coffee hours;class time;resume	 approachable approachable approachable	 positive positive positive	"""Coffee hours"" outside of class time for extra resume help, etcetera."
;class;null	 course approachable	 positive positive	very easy class and everything is clear... he's very helpful!
;null	 teacher	 positive	Mr. Everett is very passionate and really wants the student to perform to their potential.
;null	 course	 positive	Some of his students complain but he is NOT hard at all.
;teaching style	 teaching	 positive	But, by the second month, it turned into one of my favorite classes because his teaching style started to make sense and the class seemed easier.
;concepts	 teaching	 negative	He tends to try to branch out to other concepts that aren't relevant.
;material	 teaching	 positive	You can tell he really enjoys teaching, and knows the material like the back of his hand.
;class average	 grading	 negative	His typical class average is a low C. I wouldn't recommend anyone taking his class AT ALL!
;class participation	 answering	 positive	Class participation is a must.
;biology courses	 teaching	 negative	He does not teach what is needed to be taught in a biology courses.
;questions	 exam	 negative	It throws a person off because almost all of his questions are like this!
;exams	 exam	 positive	Hard exams, but worth it.
;tests	 exam	 neutral	Bear with him, because what he says could end up on the tests!
;teacher	 teacher	 negative	She is a very controversial teacher, I had her as a teacher and as a advisor.
;discussions	 answering	 positive	And the discussions were soo much fun and sometimes heated.
;teacher	 teacher	 positive	Interesting and opiniated teacher- strongly recomend!
;lectures;experiences	 teaching teaching	 positive positive	She cares about her students success, and tries to connect the lectures to her life experiences which makes things fun to learn and easier to grasp.
;class	 course	 positive	I wish every class was this easy!
;tangents;lecture material	 teaching relevant	 negative positive	Dr. Molumby goes off on tangents during his lectures, but at the end of them he does prove a point about the lecture material.
;null;null	 teacher knowledge	 positive positive	he is very interesting and knows soooo much - i learned a lot and stayed interested every class.
;tests;null	 exam grading	 negative positive	Definitely expects hard work and tests can be difficult but grades fairly and the classes aren't a problem if you study.
;jokes	 teacher	 positive	He always made jokes and it is a great fun to go to class.
;fare;exams	 grading exam	 positive negative	He is really fare in person, but he is certainly out to get you on the exams.
;material	 teaching	 negative	Even if the material is difficult, it's still fun to try to undress him with your eyes.
;practice exam	 exam	 neutral	When using practice exams do the work for the problems do not depend on multichoice.
;pass;fail	 grading grading	 neutral neutral	I took it as a pass/fail and recommend that everyone who's not a BIO major do the same thing.
;class	 teaching	 positive	I never get bored in his class, I actually enjoy going to his class.
;exam	 exam	 positive	Show up the week before an exam and you are set when he reviews everything.
;teaching style	 teaching	 negative	Her teaching style did not resonate well with me.
;lab	 exam	 negative	Lab was also hard.
;random facts	 teaching	 negative	he throws random facts in there and makes it way harder than the class actually is.
;powerpoint slides;tests;material	 exam exam exam	 negative negative negative	Id rather read and understand the book than be tested on powerpoint slides that force you to memorize for the tests instead of understand the material.
;lecture	 teaching	 negative	Hard to pay attention the whole lecture but it is a must if you don't want to get confused.
;class;homework	 attendance exam	 negative negative	yes im bad at math, however going to class doesnt help and neither does homework.
;paper	 answering	 negative	When someone asks him to go over it on paper, he hesitates and asks us why we couldn't just write down what he said.
;class	 teacher	 positive	Take her class you will have fun and won't regret it!
;lectures	 teaching	 positive	His lectures are rarely boring and he can makes a lecture on signaling the funniest part of my day.
;professor;exams	 teacher exam	 positive neutral	He's a great professor and very intelligent guy ;) of course, you do have to study for his exams!
;professors	 teacher	 positive	Molumby is one of the best professors @ UIC!
;office hours;tutoring center	 approachable approachable	 positive positive	However, if you go to his office hours or the calculus tutoring center, he was usually pretty helpful.
;topic	 approachable	 positive	He was very helpful with my topic.
;class	 attendance	 positive	The best way to succeed in this class is to actually go to class and pay attention.
;null	 teacher	 positive	Nice guy.
;null	 teaching	 negative	Prof is a nice guy but he shouldn't be teaching.
;group projects	 exam	 neutral	We had no book, and did 3 group projects.
;tests	 exam	 neutral	I don't suggest waiting until the night before to study for his tests.
;ta	 grading	 negative	It all depends on your TA seriously!
;class	 relevant	 positive	Her class made me love political science, government, and history even more than I did before taking the class.
;class;credit	 attendance attendance	 neutral neutral	Show up to class though, because she might give extra credit.
;professor	 teacher	 positive	Great professor.
;quizzes;credit	 exam exam	 negative positive	There are quizzes every day but she gives many opportunities for extra credit.
;teacher	 teacher	 positive	Great teacher.
;null	 teacher	 positive	AWSOME!
;null	 teacher	 positive	Over all he's easy.. just picky at times.
;null	 course	 negative	It was pretty hard!
;null	 teacher	 negative	This is the worst class I have ever taken!!!
;ta	 grading	 negative	I had an 89 in the class &  the TA didn't round me up.
;assignments	 exam	 negative	The only complaint I have is her tear-out assignments are pretty difficult.
;null	 exam	 negative	She gives way too much reading which by the way is hard to understand.
;learning	 teaching	 positive	Now if you want to actually learn and have fun learning, she is definitely the one to take!!!!
;stories	 relevant	 positive	He always has great side stories relevant to the topic to tell; I actually used the other side of my notebook to make notes of just his stories.
;course material;fair	 teaching grading	 positive positive	Course material is very clear and grading is fair.
;null	 teacher	 positive	He is brilliant, helpful and it doesn't hurt that he shares his, in my opinion, obviously correct wordlview with the class.
;student group discussions;class	 teaching teaching	 positive positive	I've been in classes with lots of student group discussions and though it is enjoyable I can't say I learned anywhere near as much as this class.
;lectures	 teaching	 positive	Interesting subject matter and does a great job on lectures but that's about it.
;null;null	 relevant teacher	 positive positive	I learned a lot.
;null	 grading	 negative	if i get a B in this class its such BS
;quizzes	 exam	 positive	Quizzes every class...so easy though!
;exams;class	 exam attendance	 positive positive	His exams are super easy if you attend class and pay attention :)
;null;class	 teaching teacher	 positive positive	Mr. Everett is very boring but I did learn from his class.
;professor	 teacher	 negative	Any person that rated this guy as hes a great professor you people are just weird like him.
;sense of humor	 teacher	 positive	He is the most down to earth guy with a great sense of humor though he WILL put you to work.
;office hours	 teacher	 positive	Highly recommend talking to him in office hours just because of how great of a guy he is.
;null	 teacher	 negative	As much as I was interested in this class before taking it,my motivation for it steadily declined as it progressed.
;lectures	 teaching	 positive	Lectures are interesting.
;class	 course	 negative	This class stressed me out beyond belief because I hadn't the slightest clue of what was going on.
;teacher	 teacher	 positive	he is the funniest teacher i had here.
;professors	 teacher	 positive	Molumby is one of the most passionate biology professors at UIC.
;tests	 exam	 negative	im a soph with a 3.9 and find classes that should be more challenging way easier than his class bc of his unfair tests.
;classes	 teacher	 positive	Professor Schurter teaches a few different classes in Isenberg and I would definitely recommend trying to enroll in one before your time here at UMass is up.
;humor	 answering	 positive	His humor is a great addition to the course.
;null	 teacher	 positive	He's really attractive.
;homework;tests	 exam exam	 negative negative	homework has nothing to do with the tests which are all 15 qs each/85% of your grade so if you mess one up you're screwed.
;professor	 teacher	 positive	DECENT PROFESSOR.
;material	 teaching	 positive	He presents the material in a very interesting way and has some hilarious stories to go along.
;class	 attendance	 neutral	Class is mandatory, no textbook needed.
;class	 grading	 positive	I got an A out of the class.
;email;ta	 approachable approachable	 negative positive	Doesn't email back, lucky for him he had some awesome TA's helping him out.
;null	 grading	 positive	I got an A!
;assignments	 exam	 positive	she accepts late assignments.
;late work	 exam	 positive	Does not take late work, I tried, but he at least has a good reason for it.
;null	 relevant	 negative	i am premed, and because of his work, i am now at a major disadvantage.
;paper;thesis	 exam exam	 neutral neutral	I didn't mind typing the papers, what got me was trying to get him to approve my thesis so I could type the paper.
;notes;tests	 teaching exam	 neutral positive	Puts notes on website, tests are fairly easy if you study well.
;report	 exam	 negative	Made one student go on a long drive for a report and another he wanted to go to the archives.
;help;open door policy;help	 approachable approachable approachable	 positive positive positive	If you need any help, he has an open door policy and is willing to offer all the help you need.
;null	 teacher	 positive	Thanks Professor! 
;lecture	 attendance	 neutral	YOU MUST ATTEND LECTURE.
;professor	 teacher	 positive	Overall great professor--bonus points bc he's a metal head!
;teach	 teacher	 negative	Doesn't know how to teach or how to run a class.
;null	 teacher	 positive	i wish ppl would stop dogging him....HE ROCKS!
;courses	 teacher	 positive	I highly suggest you take her courses.
;quiz	 grading	 positive	He once missed a quiz day so he automatically gave us all 100%.
;journals;therapist	 approachable approachable	 positive positive	Through the journals she requires every week, you feel like you have a personal therapist to talk to.
;grader;assignments	 grading exam	 positive negative	She is a bit unclear in what she expects on assignments but she's an easy grader.
;exam;genetics;evolution	 exam exam exam	 negative negative negative	The second exam was, for the most part, supposed to be based on genetics and evolution.
;lecture;old tests;slides	 attendance teaching teaching	 positive positive positive	If you show up for lecture and pay attention they are not that hard, and he gives you old tests and puts his slides online.
;papers;proctored exam;grammar;essay	 exam exam exam exam	 negative negative negative negative	There was 4 papers and 2 proctored exams: grammar and an essay on the final.
;exams;powerpoints;old exams	 exam exam exam	 neutral neutral neutral	Only way to study for his exams is going through the powerpoints and old exams.
